S.No,Text,x0,y0,x1,y1,Page_No,height,width
1,,553,782,554,787,1,4,1
2,,488,766,489,771,1,5,1
3,Page 1/1,524,766,551,771,1,5,27
4,,254,766,255,771,1,5,1
5,,245,715,248,743,1,28,3
6,Laboratory Reference Ranges Dispatch Form for EDC RAVE Studies,20,758,205,763,1,5,185
7,,51,759,55,766,1,7,4
8,ersion: 1.0 Valid: 05.01.2012,24,766,103,771,1,5,79
9,V,20,766,24,779,1,13,4
10,LABORATORY REFERENCE RANGES,157,698,416,711,1,12,259
11,DISPATCH FORM FOR EDC RAVE STUDIES,137,682,432,695,1,12,294
12,,454,510,457,522,1,11,3
13,,454,496,457,507,1,11,3
14,Date,454,267,494,300,1,33,40
15,,454,291,456,300,1,8,2
16,,454,277,457,288,1,11,3
17,Date,454,267,494,274,1,7,40
18,mmm,454,247,499,259,1,11,45
19,,454,233,457,244,1,11,3
20,,454,218,457,229,1,11,3
21,,454,203,457,214,1,11,3
22,,472,233,475,244,1,11,3
23,,472,218,475,229,1,11,3
24,yyyy,515,250,535,257,1,7,20
25,,515,233,518,244,1,11,3
26,,515,218,518,229,1,11,3
27,Date (dd-mmm-yyyy):,346,619,423,626,1,7,76
28,Monitor(s):,346,581,387,588,1,7,40
29,Phone No.,346,571,382,579,1,7,35
30,Fax No.,346,562,376,569,1,7,29
31,e-mail address:,346,553,399,560,1,7,52
32,tudy Title Theme No.,43,608,249,615,1,7,205
33,S,39,608,43,624,1,16,4
34,Protocol No. Site No.,39,626,240,633,1,7,201
35,nvestigator No Country,41,543,245,551,1,7,203
36,I,39,543,42,560,1,16,2
37,,39,525,41,541,1,16,2
38,nvestigator,41,562,81,569,1,7,39
39,I,39,562,42,578,1,16,2
40,o No,44,580,64,587,1,7,19
41,R,39,580,44,606,1,25,5
42,New Lab (Investigator / Local Lab) - List Reference Ranges and Units:,39,385,318,414,1,29,279
43,,39,406,41,414,1,8,2
44,Attached,39,395,78,403,1,8,39
45,New Lab (Investigator / Local Lab) - List Reference Ranges and Units:,39,385,318,393,1,8,279
46,"Additional Reference Ranges, specify:",41,364,200,372,1,8,159
47,"Reference Range or Unit Corrections, specify:",41,343,228,351,1,8,187
48,"Reference Range with New Start Date, specify: (dd-mmm-yyyy)",41,323,292,331,1,8,251
49,Other:,41,302,84,310,1,8,43
50,,39,364,41,382,1,18,2
51,,39,343,41,362,1,18,2
52,,39,323,41,341,1,18,2
53,,39,302,41,320,1,18,2
54,,39,291,41,300,1,8,2
55,aboratory or Hospital Address:,44,479,160,487,1,8,115
56,L,39,479,44,497,1,18,5
57,Laboratory or Hospital Name:,39,499,152,507,1,8,113
58,ity / Postal code,45,437,107,445,1,8,62
59,ountry,45,416,73,425,1,8,28
